




Analysis Type:	PANTHER Overrepresentation Test (Released 20200728)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.3954044 Released 2020-07-16
Analyzed List:	upload_1 (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Homo sapiens - REFLIST (20851)	upload_1 (188)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
regulation of hydrolase activity (GO:0051336)	1302	27	11.74	+	2.30	5.84E-05	2.77E-03
positive regulation of molecular function (GO:0044093)	1837	38	16.56	+	2.29	1.74E-06	1.36E-04
regulation of developmental process (GO:0050793)	2668	55	24.06	+	2.29	2.69E-09	3.97E-07
negative regulation of cellular biosynthetic process (GO:0031327)	1556	32	14.03	+	2.28	1.78E-05	9.89E-04
regulation of protein phosphorylation (GO:0001932)	1467	30	13.23	+	2.27	3.92E-05	1.98E-03
positive regulation of nucleic acid-templated transcription (GO:1903508)	1665	34	15.01	+	2.26	9.12E-06	5.64E-04
positive regulation of RNA biosynthetic process (GO:1902680)	1666	34	15.02	+	2.26	9.19E-06	5.66E-04
cell death (GO:0008219)	1080	22	9.74	+	2.26	3.95E-04	1.33E-02
negative regulation of nucleic acid-templated transcription (GO:1903507)	1279	26	11.53	+	2.25	1.09E-04	4.55E-03
negative regulation of RNA biosynthetic process (GO:1902679)	1281	26	11.55	+	2.25	1.11E-04	4.62E-03
cellular nitrogen compound biosynthetic process (GO:0044271)	1577	32	14.22	+	2.25	2.03E-05	1.10E-03
organic cyclic compound biosynthetic process (GO:1901362)	1236	25	11.14	+	2.24	1.62E-04	6.46E-03
regulation of phosphate metabolic process (GO:0019220)	1837	37	16.56	+	2.23	3.86E-06	2.70E-04
regulation of phosphorus metabolic process (GO:0051174)	1838	37	16.57	+	2.23	3.90E-06	2.71E-04
regulation of response to stimulus (GO:0048583)	4382	88	39.51	+	2.23	4.88E-15	1.41E-12
positive regulation of protein modification process (GO:0031401)	1250	25	11.27	+	2.22	2.80E-04	9.99E-03
localization of cell (GO:0051674)	1104	22	9.95	+	2.21	5.07E-04	1.61E-02
cell motility (GO:0048870)	1104	22	9.95	+	2.21	5.07E-04	1.61E-02
cellular homeostasis (GO:0019725)	909	18	8.20	+	2.20	1.89E-03	4.70E-02
multi-organism process (GO:0051704)	1089	21	9.82	+	2.14	1.38E-03	3.65E-02
positive regulation of cellular process (GO:0048522)	5712	110	51.50	+	2.14	6.57E-19	3.73E-16
regulation of intracellular signal transduction (GO:1902531)	1823	35	16.44	+	2.13	2.32E-05	1.25E-03
programmed cell death (GO:0012501)	1043	20	9.40	+	2.13	1.99E-03	4.83E-02
regulation of protein modification process (GO:0031399)	1885	36	17.00	+	2.12	1.80E-05	9.92E-04
homeostatic process (GO:0042592)	1681	32	15.16	+	2.11	6.93E-05	3.19E-03
positive regulation of biological process (GO:0048518)	6306	120	56.86	+	2.11	4.27E-21	5.22E-18
negative regulation of cellular process (GO:0048523)	4895	93	44.14	+	2.11	1.58E-14	4.34E-12
regulation of localization (GO:0032879)	2796	53	25.21	+	2.10	1.34E-07	1.42E-05
negative regulation of biological process (GO:0048519)	5557	105	50.10	+	2.10	7.33E-17	2.77E-14
regulation of molecular function (GO:0065009)	3079	58	27.76	+	2.09	2.45E-08	2.91E-06
regulation of gene expression (GO:0010468)	4831	91	43.56	+	2.09	5.96E-14	1.50E-11
regulation of transcription by RNA polymerase II (GO:0006357)	2206	41	19.89	+	2.06	7.68E-06	4.96E-04
regulation of transport (GO:0051049)	1841	34	16.60	+	2.05	8.05E-05	3.59E-03
RNA metabolic process (GO:0016070)	1626	30	14.66	+	2.05	1.87E-04	7.25E-03
regulation of macromolecule metabolic process (GO:0060255)	6435	117	58.02	+	2.02	1.38E-18	7.34E-16
transport (GO:0006810)	4561	82	41.12	+	1.99	3.76E-11	6.79E-09
intracellular signal transduction (GO:0035556)	1685	30	15.19	+	1.97	3.91E-04	1.32E-02
establishment of localization (GO:0051234)	4693	83	42.31	+	1.96	6.18E-11	1.06E-08
positive regulation of signaling (GO:0023056)	1867	33	16.83	+	1.96	2.68E-04	9.58E-03
cell development (GO:0048468)	1654	29	14.91	+	1.94	6.04E-04	1.85E-02
regulation of metabolic process (GO:0019222)	6987	122	63.00	+	1.94	3.53E-18	1.65E-15
signal transduction (GO:0007165)	5156	90	46.49	+	1.94	1.17E-11	2.29E-09
localization (GO:0051179)	5850	102	52.75	+	1.93	8.56E-14	2.13E-11
regulation of macromolecule biosynthetic process (GO:0010556)	3981	69	35.89	+	1.92	2.15E-08	2.59E-06
regulation of biological quality (GO:0065008)	4102	71	36.99	+	1.92	1.08E-08	1.37E-06
positive regulation of cell communication (GO:0010647)	1859	32	16.76	+	1.91	4.39E-04	1.45E-02
regulation of cellular biosynthetic process (GO:0031326)	4132	71	37.26	+	1.91	1.98E-08	2.40E-06
neurogenesis (GO:0022008)	1690	29	15.24	+	1.90	1.10E-03	3.07E-02
regulation of biosynthetic process (GO:0009889)	4214	72	37.99	+	1.89	1.49E-08	1.87E-06
regulation of signaling (GO:0023051)	3630	62	32.73	+	1.89	3.31E-07	3.13E-05
signaling (GO:0023052)	5518	94	49.75	+	1.89	1.05E-11	2.09E-09
cellular protein localization (GO:0034613)	1648	28	14.86	+	1.88	1.56E-03	4.04E-02
regulation of cell communication (GO:0010646)	3591	61	32.38	+	1.88	5.02E-07	4.56E-05
cell communication (GO:0007154)	5609	95	50.57	+	1.88	8.19E-12	1.67E-09
cellular macromolecule localization (GO:0070727)	1657	28	14.94	+	1.87	1.60E-03	4.11E-02
cellular response to stimulus (GO:0051716)	6808	115	61.38	+	1.87	1.81E-15	5.64E-13
regulation of cellular macromolecule biosynthetic process (GO:2000112)	3856	65	34.77	+	1.87	2.26E-07	2.24E-05
positive regulation of signal transduction (GO:0009967)	1665	28	15.01	+	1.87	1.65E-03	4.20E-02
gene expression (GO:0010467)	2112	35	19.04	+	1.84	3.99E-04	1.34E-02
regulation of signal transduction (GO:0009966)	3156	52	28.46	+	1.83	1.38E-05	8.02E-04
biosynthetic process (GO:0009058)	2863	47	25.81	+	1.82	4.29E-05	2.16E-03
regulation of nitrogen compound metabolic process (GO:0051171)	5856	96	52.80	+	1.82	4.90E-11	8.66E-09
regulation of cellular metabolic process (GO:0031323)	6267	102	56.51	+	1.81	7.35E-12	1.52E-09
regulation of primary metabolic process (GO:0080090)	6055	98	54.59	+	1.80	4.65E-11	8.31E-09
nitrogen compound transport (GO:0071705)	1857	30	16.74	+	1.79	1.86E-03	4.63E-02
nucleobase-containing compound metabolic process (GO:0006139)	2738	44	24.69	+	1.78	1.28E-04	5.20E-03
response to stimulus (GO:0050896)	8545	137	77.04	+	1.78	1.53E-18	7.86E-16
organic substance biosynthetic process (GO:1901576)	2807	45	25.31	+	1.78	1.02E-04	4.31E-03
cellular biosynthetic process (GO:0044249)	2701	43	24.35	+	1.77	1.87E-04	7.23E-03
regulation of RNA metabolic process (GO:0051252)	3738	59	33.70	+	1.75	8.99E-06	5.59E-04
regulation of nucleobase-containing compound metabolic process (GO:0019219)	4008	63	36.14	+	1.74	4.13E-06	2.85E-04
macromolecule localization (GO:0033036)	2551	40	23.00	+	1.74	4.81E-04	1.56E-02
cell differentiation (GO:0030154)	3782	59	34.10	+	1.73	1.53E-05	8.69E-04
cellular developmental process (GO:0048869)	3836	59	34.59	+	1.71	1.83E-05	1.01E-03
organic substance transport (GO:0071702)	2218	34	20.00	+	1.70	1.97E-03	4.80E-02
regulation of transcription, DNA-templated (GO:0006355)	3395	52	30.61	+	1.70	9.47E-05	4.11E-03
regulation of RNA biosynthetic process (GO:2001141)	3471	53	31.30	+	1.69	7.53E-05	3.41E-03
organic cyclic compound metabolic process (GO:1901360)	3214	49	28.98	+	1.69	1.62E-04	6.46E-03
regulation of cellular component organization (GO:0051128)	2440	37	22.00	+	1.68	1.92E-03	4.74E-02
cellular aromatic compound metabolic process (GO:0006725)	2982	45	26.89	+	1.67	5.00E-04	1.59E-02
regulation of nucleic acid-templated transcription (GO:1903506)	3466	52	31.25	+	1.66	1.64E-04	6.51E-03
heterocycle metabolic process (GO:0046483)	2934	44	26.45	+	1.66	6.81E-04	2.04E-02
organonitrogen compound metabolic process (GO:1901564)	5444	79	49.09	+	1.61	2.49E-06	1.89E-04
protein metabolic process (GO:0019538)	4414	64	39.80	+	1.61	4.85E-05	2.39E-03
animal organ development (GO:0048513)	3266	47	29.45	+	1.60	1.17E-03	3.18E-02
cellular nitrogen compound metabolic process (GO:0034641)	3398	48	30.64	+	1.57	1.41E-03	3.69E-02
system development (GO:0048731)	4514	63	40.70	+	1.55	1.77E-04	6.93E-03
multicellular organism development (GO:0007275)	5117	68	46.14	+	1.47	4.50E-04	1.48E-02
regulation of cellular process (GO:0050794)	11311	150	101.98	+	1.47	4.94E-13	1.16E-10
nitrogen compound metabolic process (GO:0006807)	7089	94	63.92	+	1.47	8.84E-06	5.51E-04
regulation of biological process (GO:0050789)	11873	156	107.05	+	1.46	5.58E-14	1.45E-11
macromolecule metabolic process (GO:0043170)	6338	83	57.15	+	1.45	8.64E-05	3.81E-03
anatomical structure development (GO:0048856)	5499	71	49.58	+	1.43	6.36E-04	1.93E-02
primary metabolic process (GO:0044238)	7572	97	68.27	+	1.42	2.47E-05	1.32E-03
developmental process (GO:0032502)	5954	76	53.68	+	1.42	6.20E-04	1.89E-02
biological regulation (GO:0065007)	12544	159	113.10	+	1.41	5.83E-13	1.34E-10
organic substance metabolic process (GO:0071704)	8007	101	72.19	+	1.40	3.03E-05	1.59E-03
metabolic process (GO:0008152)	8587	106	77.42	+	1.37	3.77E-05	1.92E-03
multicellular organismal process (GO:0032501)	7140	86	64.38	+	1.34	1.17E-03	3.18E-02
cellular metabolic process (GO:0044237)	7784	93	70.18	+	1.33	8.25E-04	2.39E-02
cellular process (GO:0009987)	15626	168	140.89	+	1.19	1.06E-06	8.84E-05
biological_process (GO:0008150)	17927	182	161.64	+	1.13	1.23E-06	1.01E-04
Unclassified (UNCLASSIFIED)	2924	6	26.36	-	.23	1.23E-06	1.02E-04
microtubule-based process (GO:0007017)	798	0	7.20	-	 < 0.01	1.52E-03	3.95E-02
