




Analysis Type:	PANTHER Overrepresentation Test (Released 20200728)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.3954044 Released 2020-07-16
Analyzed List:	upload_1 (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Homo sapiens - REFLIST (20851)	upload_1 (4575)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
negative regulation of phosphorus metabolic process (GO:0010563)	572	183	125.50	+	1.46	1.16E-05	4.22E-04
cellular protein metabolic process (GO:0044267)	3826	1224	839.48	+	1.46	5.30E-36	3.12E-33
cell surface receptor signaling pathway involved in cell-cell signaling (GO:1905114)	419	134	91.93	+	1.46	2.11E-04	5.44E-03
regulation of transmembrane transport (GO:0034762)	579	185	127.04	+	1.46	1.27E-05	4.55E-04
cellular nitrogen compound metabolic process (GO:0034641)	3398	1085	745.57	+	1.46	6.24E-31	2.83E-28
protein modification by small protein conjugation or removal (GO:0070647)	1031	329	226.22	+	1.45	3.75E-09	2.73E-07
phospholipid metabolic process (GO:0006644)	392	125	86.01	+	1.45	4.01E-04	9.60E-03
trans-synaptic signaling (GO:0099537)	436	139	95.66	+	1.45	1.80E-04	4.73E-03
negative regulation of phosphate metabolic process (GO:0045936)	571	182	125.29	+	1.45	1.71E-05	5.91E-04
cell morphogenesis (GO:0000902)	728	232	159.73	+	1.45	9.79E-07	4.69E-05
synaptic signaling (GO:0099536)	465	148	102.03	+	1.45	1.21E-04	3.30E-03
regulation of cellular component size (GO:0032535)	393	125	86.23	+	1.45	4.07E-04	9.71E-03
regulation of small GTPase mediated signal transduction (GO:0051056)	327	104	71.75	+	1.45	1.23E-03	2.51E-02
regulation of developmental growth (GO:0048638)	343	109	75.26	+	1.45	1.02E-03	2.16E-02
cognition (GO:0050890)	309	98	67.80	+	1.45	1.76E-03	3.41E-02
positive regulation of establishment of protein localization (GO:1904951)	408	129	89.52	+	1.44	4.15E-04	9.87E-03
positive regulation of cellular component biogenesis (GO:0044089)	541	171	118.70	+	1.44	4.71E-05	1.44E-03
regulation of transport (GO:0051049)	1841	581	403.94	+	1.44	5.81E-15	7.89E-13
organelle assembly (GO:0070925)	764	241	167.63	+	1.44	1.11E-06	5.25E-05
vesicle-mediated transport (GO:0016192)	1972	622	432.68	+	1.44	6.05E-16	9.16E-14
peptidyl-lysine modification (GO:0018205)	314	99	68.90	+	1.44	2.33E-03	4.31E-02
mitotic cell cycle (GO:0000278)	762	240	167.19	+	1.44	1.31E-06	6.11E-05
organophosphate metabolic process (GO:0019637)	893	281	195.94	+	1.43	1.72E-07	9.50E-06
negative regulation of intracellular signal transduction (GO:1902532)	515	162	113.00	+	1.43	9.01E-05	2.54E-03
regulation of cell growth (GO:0001558)	423	133	92.81	+	1.43	4.21E-04	9.98E-03
chromatin organization (GO:0006325)	704	221	154.47	+	1.43	4.43E-06	1.84E-04
heterocycle metabolic process (GO:0046483)	2934	921	643.76	+	1.43	9.81E-24	3.00E-21
mitotic cell cycle process (GO:1903047)	685	215	150.30	+	1.43	6.23E-06	2.48E-04
purine-containing compound metabolic process (GO:0072521)	373	117	81.84	+	1.43	1.06E-03	2.22E-02
phosphate-containing compound metabolic process (GO:0006796)	2165	679	475.03	+	1.43	4.91E-17	8.77E-15
response to abiotic stimulus (GO:0009628)	1167	366	256.06	+	1.43	2.21E-09	1.66E-07
regulation of protein transport (GO:0051223)	670	210	147.01	+	1.43	9.26E-06	3.51E-04
alcohol metabolic process (GO:0006066)	332	104	72.85	+	1.43	2.00E-03	3.79E-02
negative regulation of cellular protein metabolic process (GO:0032269)	1060	332	232.58	+	1.43	1.61E-08	1.06E-06
cellular aromatic compound metabolic process (GO:0006725)	2982	932	654.29	+	1.42	1.48E-23	4.43E-21
central nervous system development (GO:0007417)	1024	320	224.68	+	1.42	3.37E-08	2.14E-06
phosphorus metabolic process (GO:0006793)	2192	685	480.96	+	1.42	7.00E-17	1.20E-14
secretion by cell (GO:0032940)	986	307	216.34	+	1.42	9.95E-08	5.79E-06
regulation of GTPase activity (GO:0043087)	485	151	106.42	+	1.42	2.43E-04	6.19E-03
response to peptide (GO:1901652)	486	151	106.64	+	1.42	2.47E-04	6.25E-03
response to organonitrogen compound (GO:0010243)	1008	313	221.17	+	1.42	8.93E-08	5.22E-06
glycoprotein metabolic process (GO:0009100)	377	117	82.72	+	1.41	1.36E-03	2.74E-02
regulation of peptide transport (GO:0090087)	703	218	154.25	+	1.41	9.77E-06	3.68E-04
negative regulation of phosphorylation (GO:0042326)	452	140	99.18	+	1.41	4.26E-04	1.01E-02
inorganic cation transmembrane transport (GO:0098662)	572	177	125.50	+	1.41	8.82E-05	2.50E-03
protein phosphorylation (GO:0006468)	971	300	213.05	+	1.41	2.23E-07	1.22E-05
transport (GO:0006810)	4561	1409	1000.75	+	1.41	2.83E-36	1.73E-33
negative regulation of transport (GO:0051051)	463	143	101.59	+	1.41	4.87E-04	1.14E-02
negative regulation of protein phosphorylation (GO:0001933)	412	127	90.40	+	1.40	9.88E-04	2.10E-02
transmembrane receptor protein tyrosine kinase signaling pathway (GO:0007169)	526	162	115.41	+	1.40	1.92E-04	5.00E-03
establishment of localization (GO:0051234)	4693	1445	1029.71	+	1.40	7.04E-37	4.87E-34
positive regulation of transport (GO:0051050)	962	296	211.08	+	1.40	4.26E-07	2.22E-05
exocytosis (GO:0006887)	793	244	174.00	+	1.40	4.42E-06	1.84E-04
cellular macromolecule metabolic process (GO:0044260)	5149	1583	1129.76	+	1.40	2.83E-41	3.21E-38
export from cell (GO:0140352)	1035	318	227.09	+	1.40	1.53E-07	8.56E-06
negative regulation of protein metabolic process (GO:0051248)	1129	346	247.72	+	1.40	4.80E-08	2.97E-06
response to oxidative stress (GO:0006979)	395	121	86.67	+	1.40	1.72E-03	3.35E-02
regulated exocytosis (GO:0045055)	696	213	152.71	+	1.39	2.83E-05	9.22E-04
cytoskeleton organization (GO:0007010)	1211	370	265.71	+	1.39	2.26E-08	1.46E-06
cellular biosynthetic process (GO:0044249)	2701	825	592.64	+	1.39	2.38E-18	4.78E-16
cellular component organization or biogenesis (GO:0071840)	5908	1803	1296.30	+	1.39	1.49E-47	3.39E-44
organic cyclic compound metabolic process (GO:1901360)	3214	980	705.20	+	1.39	5.58E-22	1.48E-19
monovalent inorganic cation transport (GO:0015672)	420	128	92.15	+	1.39	1.33E-03	2.68E-02
cellular response to DNA damage stimulus (GO:0006974)	788	240	172.90	+	1.39	1.07E-05	3.96E-04
cell junction organization (GO:0034330)	510	155	111.90	+	1.39	4.90E-04	1.14E-02
response to nitrogen compound (GO:1901698)	1093	332	239.82	+	1.38	2.07E-07	1.14E-05
positive regulation of cell cycle (GO:0045787)	392	119	86.01	+	1.38	2.43E-03	4.47E-02
positive regulation of protein transport (GO:0051222)	392	119	86.01	+	1.38	2.43E-03	4.46E-02
organic substance biosynthetic process (GO:1901576)	2807	852	615.89	+	1.38	2.27E-18	4.63E-16
glycerolipid metabolic process (GO:0046486)	396	120	86.89	+	1.38	2.55E-03	4.60E-02
response to nutrient levels (GO:0031667)	506	153	111.02	+	1.38	5.69E-04	1.29E-02
regulation of lipid metabolic process (GO:0019216)	430	130	94.35	+	1.38	1.51E-03	2.99E-02
cellular component organization (GO:0016043)	5688	1713	1248.03	+	1.37	3.28E-41	3.47E-38
cell cycle (GO:0007049)	1379	415	302.57	+	1.37	1.30E-08	8.59E-07
DNA repair (GO:0006281)	516	155	113.22	+	1.37	7.56E-04	1.65E-02
metal ion transport (GO:0030001)	647	194	141.96	+	1.37	1.49E-04	3.99E-03
biosynthetic process (GO:0009058)	2863	858	628.18	+	1.37	2.42E-17	4.37E-15
nucleobase-containing small molecule metabolic process (GO:0055086)	524	157	114.97	+	1.37	6.93E-04	1.54E-02
cellular metabolic process (GO:0044237)	7784	2332	1707.92	+	1.37	3.01E-64	4.79E-60
cation transmembrane transport (GO:0098655)	638	191	139.99	+	1.36	1.91E-04	5.00E-03
protein metabolic process (GO:0019538)	4414	1321	968.49	+	1.36	2.40E-28	9.07E-26
cellular response to nitrogen compound (GO:1901699)	662	198	145.25	+	1.36	1.45E-04	3.91E-03
macromolecule metabolic process (GO:0043170)	6338	1894	1390.65	+	1.36	1.33E-45	2.12E-42
negative regulation of cell cycle (GO:0045786)	573	171	125.72	+	1.36	4.77E-04	1.12E-02
cellular response to organonitrogen compound (GO:0071417)	604	180	132.53	+	1.36	3.87E-04	9.31E-03
lipid biosynthetic process (GO:0008610)	602	179	132.09	+	1.36	3.83E-04	9.25E-03
behavior (GO:0007610)	586	174	128.58	+	1.35	5.44E-04	1.25E-02
neutrophil degranulation (GO:0043312)	482	143	105.76	+	1.35	1.83E-03	3.51E-02
neutrophil activation involved in immune response (GO:0002283)	486	144	106.64	+	1.35	1.90E-03	3.63E-02
cellular protein modification process (GO:0006464)	3192	944	700.37	+	1.35	6.62E-18	1.30E-15
protein modification process (GO:0036211)	3192	944	700.37	+	1.35	6.62E-18	1.28E-15
cell cycle process (GO:0022402)	1061	312	232.80	+	1.34	5.15E-06	2.12E-04
granulocyte activation (GO:0036230)	500	147	109.71	+	1.34	2.18E-03	4.08E-02
regulation of ion transport (GO:0043269)	711	209	156.00	+	1.34	2.34E-04	5.99E-03
negative regulation of metabolic process (GO:0009892)	3118	916	684.13	+	1.34	1.20E-16	1.98E-14
leukocyte degranulation (GO:0043299)	504	148	110.58	+	1.34	1.93E-03	3.66E-02
negative regulation of gene expression (GO:0010629)	1982	582	434.88	+	1.34	2.08E-10	1.72E-08
nucleobase-containing compound biosynthetic process (GO:0034654)	1015	298	222.71	+	1.34	9.28E-06	3.51E-04
negative regulation of macromolecule metabolic process (GO:0010605)	2867	841	629.06	+	1.34	4.77E-15	6.54E-13
neutrophil activation (GO:0042119)	495	145	108.61	+	1.34	2.47E-03	4.50E-02
regulation of secretion by cell (GO:1903530)	683	200	149.86	+	1.33	3.55E-04	8.66E-03
response to extracellular stimulus (GO:0009991)	540	158	118.48	+	1.33	1.62E-03	3.17E-02
chromosome organization (GO:0051276)	1063	311	233.24	+	1.33	7.34E-06	2.86E-04
localization (GO:0051179)	5850	1711	1283.57	+	1.33	7.51E-35	3.73E-32
macromolecule modification (GO:0043412)	3417	999	749.74	+	1.33	8.47E-18	1.60E-15
nitrogen compound metabolic process (GO:0006807)	7089	2072	1555.43	+	1.33	5.40E-46	9.54E-43
positive regulation of hydrolase activity (GO:0051345)	774	226	169.83	+	1.33	1.81E-04	4.74E-03
RNA biosynthetic process (GO:0032774)	581	169	127.48	+	1.33	1.42E-03	2.85E-02
secretion (GO:0046903)	1104	321	242.23	+	1.33	8.83E-06	3.35E-04
primary metabolic process (GO:0044238)	7572	2200	1661.40	+	1.32	9.21E-49	2.44E-45
transcription, DNA-templated (GO:0006351)	568	165	124.63	+	1.32	1.76E-03	3.40E-02
myeloid cell activation involved in immune response (GO:0002275)	520	151	114.10	+	1.32	2.63E-03	4.73E-02
regulation of hydrolase activity (GO:0051336)	1302	378	285.68	+	1.32	1.31E-06	6.10E-05
nucleic acid-templated transcription (GO:0097659)	569	165	124.85	+	1.32	1.78E-03	3.42E-02
regulation of localization (GO:0032879)	2796	810	613.48	+	1.32	1.84E-13	2.17E-11
cation transport (GO:0006812)	839	243	184.09	+	1.32	1.41E-04	3.80E-03
ion transmembrane transport (GO:0034220)	915	265	200.76	+	1.32	7.35E-05	2.13E-03
response to hormone (GO:0009725)	822	238	180.36	+	1.32	1.68E-04	4.45E-03
proteolysis (GO:0006508)	1299	376	285.02	+	1.32	1.76E-06	7.96E-05
negative regulation of cellular metabolic process (GO:0031324)	2624	759	575.74	+	1.32	1.75E-12	1.78E-10
regulation of growth (GO:0040008)	685	198	150.30	+	1.32	6.90E-04	1.53E-02
apoptotic process (GO:0006915)	911	263	199.89	+	1.32	8.40E-05	2.41E-03
regulation of secretion (GO:0051046)	739	213	162.15	+	1.31	4.86E-04	1.14E-02
regulation of cellular protein metabolic process (GO:0032268)	2685	773	589.13	+	1.31	2.35E-12	2.35E-10
negative regulation of molecular function (GO:0044092)	1178	339	258.47	+	1.31	9.94E-06	3.73E-04
organonitrogen compound metabolic process (GO:1901564)	5444	1562	1194.49	+	1.31	2.78E-27	1.00E-24
regulation of protein metabolic process (GO:0051246)	2842	815	623.57	+	1.31	1.01E-12	1.05E-10
negative regulation of nitrogen compound metabolic process (GO:0051172)	2425	695	532.08	+	1.31	9.23E-11	8.02E-09
metabolic process (GO:0008152)	8587	2461	1884.11	+	1.31	2.95E-54	9.39E-51
inorganic ion transmembrane transport (GO:0098660)	663	190	145.47	+	1.31	1.27E-03	2.57E-02
heterocycle biosynthetic process (GO:0018130)	1089	312	238.94	+	1.31	2.79E-05	9.13E-04
positive regulation of molecular function (GO:0044093)	1837	526	403.06	+	1.31	3.41E-08	2.15E-06
aromatic compound biosynthetic process (GO:0019438)	1098	314	240.92	+	1.30	2.98E-05	9.72E-04
organic substance metabolic process (GO:0071704)	8007	2288	1756.85	+	1.30	7.58E-47	1.51E-43
transmembrane transport (GO:0055085)	1295	370	284.14	+	1.30	5.98E-06	2.39E-04
cell development (GO:0048468)	1654	470	362.91	+	1.30	4.37E-07	2.26E-05
regulation of biological quality (GO:0065008)	4102	1163	900.04	+	1.29	1.67E-17	3.05E-15
regulation of protein modification process (GO:0031399)	1885	534	413.60	+	1.29	8.82E-08	5.20E-06
negative regulation of nucleobase-containing compound metabolic process (GO:0045934)	1498	424	328.68	+	1.29	2.60E-06	1.14E-04
regulation of molecular function (GO:0065009)	3079	871	675.58	+	1.29	1.62E-12	1.66E-10
intracellular signal transduction (GO:0035556)	1685	476	369.71	+	1.29	6.27E-07	3.12E-05
negative regulation of cell death (GO:0060548)	1017	287	223.14	+	1.29	1.57E-04	4.19E-03
negative regulation of RNA metabolic process (GO:0051253)	1381	389	303.01	+	1.28	1.08E-05	4.00E-04
enzyme linked receptor protein signaling pathway (GO:0007167)	735	207	161.27	+	1.28	1.58E-03	3.11E-02
negative regulation of signal transduction (GO:0009968)	1295	364	284.14	+	1.28	2.28E-05	7.63E-04
carbohydrate derivative metabolic process (GO:1901135)	1015	285	222.71	+	1.28	2.08E-04	5.38E-03
positive regulation of catalytic activity (GO:0043085)	1478	415	324.29	+	1.28	6.34E-06	2.51E-04
regulation of signaling (GO:0023051)	3630	1019	796.47	+	1.28	4.35E-14	5.41E-12
negative regulation of catalytic activity (GO:0043086)	820	230	179.92	+	1.28	1.02E-03	2.15E-02
negative regulation of signaling (GO:0023057)	1416	397	310.69	+	1.28	1.17E-05	4.25E-04
negative regulation of cell communication (GO:0010648)	1413	396	310.03	+	1.28	1.16E-05	4.21E-04
negative regulation of biosynthetic process (GO:0009890)	1586	444	347.99	+	1.28	3.44E-06	1.48E-04
organic cyclic compound biosynthetic process (GO:1901362)	1236	346	271.20	+	1.28	4.93E-05	1.50E-03
regulation of cell communication (GO:0010646)	3591	1004	787.92	+	1.27	1.69E-13	2.01E-11
regulation of catalytic activity (GO:0050790)	2394	669	525.28	+	1.27	7.68E-09	5.38E-07
regulation of intracellular signal transduction (GO:1902531)	1823	508	399.99	+	1.27	9.61E-07	4.62E-05
cellular response to oxygen-containing compound (GO:1901701)	1076	299	236.09	+	1.27	2.64E-04	6.64E-03
negative regulation of cellular macromolecule biosynthetic process (GO:2000113)	1434	398	314.64	+	1.26	2.63E-05	8.64E-04
negative regulation of macromolecule biosynthetic process (GO:0010558)	1497	415	328.46	+	1.26	1.66E-05	5.77E-04
oxidation-reduction process (GO:0055114)	968	268	212.39	+	1.26	7.20E-04	1.59E-02
negative regulation of cellular biosynthetic process (GO:0031327)	1556	429	341.41	+	1.26	2.00E-05	6.80E-04
regulation of cell differentiation (GO:0045595)	1883	519	413.16	+	1.26	2.05E-06	9.13E-05
cellular response to endogenous stimulus (GO:0071495)	1159	319	254.30	+	1.25	2.82E-04	7.03E-03
cellular homeostasis (GO:0019725)	909	249	199.45	+	1.25	1.96E-03	3.71E-02
regulation of cell death (GO:0010941)	1714	468	376.08	+	1.24	1.59E-05	5.55E-04
regulation of multicellular organismal development (GO:2000026)	2106	575	462.09	+	1.24	1.47E-06	6.78E-05
positive regulation of protein metabolic process (GO:0051247)	1722	469	377.83	+	1.24	2.12E-05	7.17E-04
negative regulation of cellular process (GO:0048523)	4895	1332	1074.03	+	1.24	2.66E-15	3.81E-13
regulation of metabolic process (GO:0019222)	6987	1901	1533.05	+	1.24	1.64E-24	5.12E-22
regulation of anatomical structure morphogenesis (GO:0022603)	1110	302	243.55	+	1.24	8.00E-04	1.74E-02
regulation of transferase activity (GO:0051338)	1033	281	226.65	+	1.24	1.32E-03	2.67E-02
negative regulation of programmed cell death (GO:0043069)	924	251	202.74	+	1.24	2.73E-03	4.89E-02
regulation of cellular metabolic process (GO:0031323)	6267	1701	1375.07	+	1.24	1.60E-20	3.97E-18
regulation of phosphate metabolic process (GO:0019220)	1837	498	403.06	+	1.24	1.70E-05	5.90E-04
ion transport (GO:0006811)	1343	364	294.67	+	1.24	2.90E-04	7.17E-03
regulation of programmed cell death (GO:0043067)	1583	429	347.33	+	1.24	7.34E-05	2.13E-03
regulation of phosphorus metabolic process (GO:0051174)	1838	498	403.28	+	1.23	1.71E-05	5.91E-04
cellular lipid metabolic process (GO:0044255)	975	264	213.93	+	1.23	2.40E-03	4.42E-02
positive regulation of cellular protein metabolic process (GO:0032270)	1631	441	357.86	+	1.23	6.33E-05	1.88E-03
regulation of apoptotic process (GO:0042981)	1561	422	342.51	+	1.23	9.66E-05	2.70E-03
regulation of biosynthetic process (GO:0009889)	4214	1138	924.61	+	1.23	5.38E-12	5.25E-10
negative regulation of biological process (GO:0048519)	5557	1499	1219.28	+	1.23	1.59E-16	2.58E-14
regulation of signal transduction (GO:0009966)	3156	851	692.47	+	1.23	1.08E-08	7.28E-07
response to organic substance (GO:0010033)	3027	814	664.17	+	1.23	3.83E-08	2.41E-06
positive regulation of signaling (GO:0023056)	1867	501	409.65	+	1.22	3.60E-05	1.14E-03
regulation of macromolecule biosynthetic process (GO:0010556)	3981	1068	873.49	+	1.22	1.27E-10	1.08E-08
positive regulation of cellular process (GO:0048522)	5712	1532	1253.29	+	1.22	3.22E-16	5.07E-14
regulation of gene expression (GO:0010468)	4831	1295	1059.99	+	1.22	4.43E-13	4.86E-11
response to endogenous stimulus (GO:0009719)	1433	384	314.42	+	1.22	3.83E-04	9.24E-03
regulation of cellular biosynthetic process (GO:0031326)	4132	1107	906.62	+	1.22	6.80E-11	6.07E-09
regulation of cellular macromolecule biosynthetic process (GO:2000112)	3856	1033	846.06	+	1.22	4.36E-10	3.47E-08
positive regulation of macromolecule biosynthetic process (GO:0010557)	1924	515	422.15	+	1.22	3.57E-05	1.13E-03
positive regulation of cellular metabolic process (GO:0031325)	3432	917	753.03	+	1.22	1.02E-08	6.96E-07
regulation of nucleobase-containing compound metabolic process (GO:0019219)	4008	1070	879.41	+	1.22	3.51E-10	2.84E-08
positive regulation of cell communication (GO:0010647)	1859	496	407.89	+	1.22	6.31E-05	1.88E-03
regulation of RNA metabolic process (GO:0051252)	3738	997	820.17	+	1.22	2.21E-09	1.66E-07
regulation of macromolecule metabolic process (GO:0060255)	6435	1714	1411.93	+	1.21	9.54E-18	1.78E-15
positive regulation of metabolic process (GO:0009893)	3907	1040	857.25	+	1.21	1.14E-09	8.88E-08
positive regulation of cellular biosynthetic process (GO:0031328)	2022	538	443.65	+	1.21	3.69E-05	1.16E-03
regulation of primary metabolic process (GO:0080090)	6055	1610	1328.55	+	1.21	4.69E-16	7.17E-14
regulation of nitrogen compound metabolic process (GO:0051171)	5856	1556	1284.89	+	1.21	2.95E-15	4.12E-13
positive regulation of biosynthetic process (GO:0009891)	2055	545	450.90	+	1.21	4.67E-05	1.43E-03
regulation of developmental process (GO:0050793)	2668	707	585.40	+	1.21	2.37E-06	1.05E-04
cellular response to organic substance (GO:0071310)	2360	624	517.82	+	1.21	1.42E-05	5.02E-04
regulation of transcription by RNA polymerase II (GO:0006357)	2206	583	484.03	+	1.20	3.23E-05	1.04E-03
response to oxygen-containing compound (GO:1901700)	1605	424	352.16	+	1.20	4.72E-04	1.11E-02
negative regulation of nucleic acid-templated transcription (GO:1903507)	1279	337	280.63	+	1.20	2.32E-03	4.29E-02
positive regulation of nitrogen compound metabolic process (GO:0051173)	3249	856	712.88	+	1.20	2.92E-07	1.56E-05
negative regulation of RNA biosynthetic process (GO:1902679)	1281	337	281.07	+	1.20	2.60E-03	4.68E-02
regulation of phosphorylation (GO:0042325)	1638	428	359.40	+	1.19	9.09E-04	1.96E-02
positive regulation of macromolecule metabolic process (GO:0010604)	3605	939	790.99	+	1.19	3.48E-07	1.82E-05
positive regulation of signal transduction (GO:0009967)	1665	433	365.32	+	1.19	1.21E-03	2.49E-02
positive regulation of RNA metabolic process (GO:0051254)	1757	456	385.51	+	1.18	9.58E-04	2.04E-02
positive regulation of nucleobase-containing compound metabolic process (GO:0045935)	1927	500	422.81	+	1.18	5.14E-04	1.18E-02
positive regulation of biological process (GO:0048518)	6306	1636	1383.62	+	1.18	5.61E-13	6.07E-11
small molecule metabolic process (GO:0044281)	1744	452	382.66	+	1.18	1.13E-03	2.35E-02
homeostatic process (GO:0042592)	1681	434	368.83	+	1.18	1.90E-03	3.62E-02
regulation of multicellular organismal process (GO:0051239)	3242	831	711.34	+	1.17	1.73E-05	5.94E-04
cellular response to chemical stimulus (GO:0070887)	2929	750	642.66	+	1.17	5.38E-05	1.63E-03
system development (GO:0048731)	4514	1155	990.43	+	1.17	1.62E-07	8.98E-06
regulation of nucleic acid-templated transcription (GO:1903506)	3466	882	760.49	+	1.16	1.93E-05	6.60E-04
regulation of RNA biosynthetic process (GO:2001141)	3471	883	761.59	+	1.16	2.15E-05	7.21E-04
positive regulation of gene expression (GO:0010628)	2351	597	515.84	+	1.16	8.33E-04	1.80E-02
regulation of transcription, DNA-templated (GO:0006355)	3395	861	744.91	+	1.16	3.92E-05	1.23E-03
multicellular organism development (GO:0007275)	5117	1287	1122.74	+	1.15	5.10E-07	2.59E-05
cellular process (GO:0009987)	15626	3919	3428.56	+	1.14	2.97E-59	2.36E-55
developmental process (GO:0032502)	5954	1483	1306.39	+	1.14	2.58E-07	1.39E-05
cellular developmental process (GO:0048869)	3836	953	841.67	+	1.13	1.57E-04	4.20E-03
anatomical structure development (GO:0048856)	5499	1363	1206.56	+	1.13	2.97E-06	1.29E-04
regulation of biological process (GO:0050789)	11873	2928	2605.10	+	1.12	1.22E-18	2.55E-16
cell differentiation (GO:0030154)	3782	931	829.82	+	1.12	5.69E-04	1.29E-02
regulation of cellular process (GO:0050794)	11311	2783	2481.79	+	1.12	4.09E-16	6.37E-14
response to stress (GO:0006950)	3656	899	802.18	+	1.12	8.29E-04	1.80E-02
biological regulation (GO:0065007)	12544	3080	2752.33	+	1.12	1.06E-19	2.47E-17
biological_process (GO:0008150)	17927	4295	3933.43	+	1.09	1.75E-55	6.96E-52
immune system process (GO:0002376)	2851	548	625.55	-	.88	2.13E-03	4.01E-02
tissue development (GO:0009888)	1781	320	390.78	-	.82	5.18E-04	1.19E-02
regulation of immune system process (GO:0002682)	1734	307	380.46	-	.81	2.45E-04	6.22E-03
positive regulation of immune system process (GO:0002684)	1100	183	241.36	-	.76	2.93E-04	7.22E-03
epithelium development (GO:0060429)	1128	184	247.50	-	.74	8.98E-05	2.55E-03
positive regulation of immune response (GO:0050778)	752	122	165.00	-	.74	1.25E-03	2.54E-02
regulation of immune response (GO:0050776)	1151	184	252.55	-	.73	2.51E-05	8.28E-04
response to biotic stimulus (GO:0009607)	1462	230	320.78	-	.72	5.23E-07	2.64E-05
immune response (GO:0006955)	1934	303	424.35	-	.71	3.87E-09	2.80E-07
negative regulation of response to external stimulus (GO:0032102)	565	87	123.97	-	.70	1.35E-03	2.72E-02
response to other organism (GO:0051707)	1428	218	313.32	-	.70	8.78E-08	5.21E-06
response to external biotic stimulus (GO:0043207)	1430	218	313.76	-	.69	8.82E-08	5.21E-06
epithelial cell differentiation (GO:0030855)	688	102	150.96	-	.68	1.10E-04	3.04E-03
negative regulation of immune system process (GO:0002683)	624	90	136.91	-	.66	9.12E-05	2.57E-03
response to molecule of bacterial origin (GO:0002237)	336	47	73.72	-	.64	2.53E-03	4.56E-02
regulation of cell activation (GO:0050865)	665	93	145.91	-	.64	1.83E-05	6.26E-04
extracellular matrix organization (GO:0030198)	361	50	79.21	-	.63	1.47E-03	2.93E-02
extracellular structure organization (GO:0043062)	362	50	79.43	-	.63	1.48E-03	2.94E-02
defense response (GO:0006952)	1434	198	314.64	-	.63	3.00E-11	2.81E-09
negative regulation of defense response (GO:0031348)	407	55	89.30	-	.62	3.80E-04	9.20E-03
regulation of lymphocyte activation (GO:0051249)	536	72	117.61	-	.61	3.65E-05	1.15E-03
defense response to other organism (GO:0098542)	1035	138	227.09	-	.61	2.93E-09	2.18E-07
regulation of leukocyte activation (GO:0002694)	623	83	136.69	-	.61	5.70E-06	2.30E-04
regulation of inflammatory response (GO:0050727)	548	73	120.24	-	.61	2.18E-05	7.32E-04
sensory perception (GO:0007600)	984	129	215.90	-	.60	3.06E-09	2.25E-07
inflammatory response (GO:0006954)	515	67	113.00	-	.59	1.92E-05	6.58E-04
innate immune response (GO:0045087)	839	107	184.09	-	.58	1.09E-08	7.34E-07
regulation of immune effector process (GO:0002697)	476	60	104.44	-	.57	1.47E-05	5.17E-04
leukocyte migration (GO:0050900)	379	47	83.16	-	.57	9.71E-05	2.71E-03
regulation of leukocyte proliferation (GO:0070663)	242	29	53.10	-	.55	1.08E-03	2.25E-02
negative regulation of inflammatory response (GO:0050728)	334	40	73.28	-	.55	1.05E-04	2.92E-03
positive regulation of lymphocyte activation (GO:0051251)	379	45	83.16	-	.54	3.12E-05	1.01E-03
positive regulation of leukocyte activation (GO:0002696)	425	49	93.25	-	.53	4.03E-06	1.70E-04
positive regulation of cell activation (GO:0050867)	439	50	96.32	-	.52	1.78E-06	8.04E-05
G protein-coupled receptor signaling pathway (GO:0007186)	1324	149	290.50	-	.51	7.09E-18	1.36E-15
regulation of lymphocyte proliferation (GO:0050670)	223	25	48.93	-	.51	6.32E-04	1.42E-02
regulation of mononuclear cell proliferation (GO:0032944)	225	25	49.37	-	.51	6.42E-04	1.44E-02
response to bacterium (GO:0009617)	735	80	161.27	-	.50	4.84E-11	4.35E-09
regulation of T cell proliferation (GO:0042129)	169	18	37.08	-	.49	2.09E-03	3.93E-02
epidermis development (GO:0008544)	422	43	92.59	-	.46	1.31E-07	7.46E-06
cell chemotaxis (GO:0060326)	203	20	44.54	-	.45	2.12E-04	5.45E-03
leukocyte chemotaxis (GO:0030595)	143	14	31.38	-	.45	2.31E-03	4.29E-02
production of molecular mediator of immune response (GO:0002440)	184	18	40.37	-	.45	4.28E-04	1.01E-02
Unclassified (UNCLASSIFIED)	2924	280	641.57	-	.44	1.75E-55	9.29E-52
antimicrobial humoral response (GO:0019730)	153	14	33.57	-	.42	5.56E-04	1.27E-02
negative regulation of immune response (GO:0050777)	345	31	75.70	-	.41	1.01E-07	5.84E-06
regulation of B cell activation (GO:0050864)	214	19	46.95	-	.40	2.38E-05	7.91E-04
skin development (GO:0043588)	383	34	84.04	-	.40	1.15E-08	7.66E-07
immunoglobulin production (GO:0002377)	158	14	34.67	-	.40	3.12E-04	7.67E-03
detection of stimulus (GO:0051606)	709	61	155.56	-	.39	9.05E-16	1.34E-13
epidermal cell differentiation (GO:0009913)	317	27	69.55	-	.39	8.87E-08	5.20E-06
cell killing (GO:0001906)	119	10	26.11	-	.38	1.22E-03	2.51E-02
