




Analysis Type:	PANTHER Overrepresentation Test (Released 20200728)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.3954044 Released 2020-07-16
Analyzed List:	upload_1 (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Homo sapiens - REFLIST (20851)	upload_1 (3022)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
response to nitrogen compound (GO:1901698)	1093	223	158.41	+	1.41	3.88E-06	1.80E-04
phosphorus metabolic process (GO:0006793)	2192	447	317.69	+	1.41	1.44E-11	1.60E-09
negative regulation of cellular macromolecule biosynthetic process (GO:2000113)	1434	292	207.83	+	1.40	1.08E-07	6.93E-06
regulation of hydrolase activity (GO:0051336)	1302	265	188.70	+	1.40	4.59E-07	2.66E-05
transport (GO:0006810)	4561	928	661.04	+	1.40	1.21E-25	5.85E-23
regulation of cell differentiation (GO:0045595)	1883	383	272.91	+	1.40	7.37E-10	6.20E-08
phosphate-containing compound metabolic process (GO:0006796)	2165	440	313.78	+	1.40	3.24E-11	3.37E-09
organic cyclic compound metabolic process (GO:1901360)	3214	653	465.81	+	1.40	7.07E-17	1.41E-14
negative regulation of macromolecule biosynthetic process (GO:0010558)	1497	304	216.96	+	1.40	6.90E-08	4.59E-06
regulation of growth (GO:0040008)	685	139	99.28	+	1.40	3.47E-04	9.89E-03
cellular biosynthetic process (GO:0044249)	2701	548	391.46	+	1.40	7.10E-14	1.06E-11
protein phosphorylation (GO:0006468)	971	197	140.73	+	1.40	2.12E-05	8.37E-04
metal ion transport (GO:0030001)	647	131	93.77	+	1.40	6.55E-04	1.68E-02
macromolecule metabolic process (GO:0043170)	6338	1283	918.59	+	1.40	9.55E-39	2.17E-35
organic substance biosynthetic process (GO:1901576)	2807	568	406.83	+	1.40	3.16E-14	4.88E-12
establishment of localization (GO:0051234)	4693	949	680.17	+	1.40	1.34E-25	6.26E-23
regulation of cellular response to stress (GO:0080135)	752	152	108.99	+	1.39	2.33E-04	7.10E-03
protein metabolic process (GO:0019538)	4414	892	639.73	+	1.39	1.17E-23	4.90E-21
regulation of localization (GO:0032879)	2796	565	405.23	+	1.39	4.44E-14	6.79E-12
exocytosis (GO:0006887)	793	160	114.93	+	1.39	1.54E-04	4.88E-03
cell cycle (GO:0007049)	1379	278	199.86	+	1.39	4.93E-07	2.79E-05
positive regulation of apoptotic process (GO:0043065)	655	132	94.93	+	1.39	7.04E-04	1.78E-02
inorganic cation transmembrane transport (GO:0098662)	572	115	82.90	+	1.39	1.63E-03	3.57E-02
cell cycle process (GO:0022402)	1061	213	153.77	+	1.39	1.73E-05	6.90E-04
negative regulation of RNA metabolic process (GO:0051253)	1381	277	200.15	+	1.38	7.41E-07	4.05E-05
organelle assembly (GO:0070925)	764	153	110.73	+	1.38	3.14E-04	9.16E-03
cellular homeostasis (GO:0019725)	909	182	131.74	+	1.38	8.70E-05	2.94E-03
heterocycle biosynthetic process (GO:0018130)	1089	218	157.83	+	1.38	1.48E-05	6.05E-04
regulation of biological quality (GO:0065008)	4102	821	594.52	+	1.38	2.47E-20	6.43E-18
biosynthetic process (GO:0009058)	2863	572	414.94	+	1.38	1.76E-13	2.52E-11
positive regulation of programmed cell death (GO:0043068)	661	132	95.80	+	1.38	9.03E-04	2.19E-02
secretion (GO:0046903)	1104	220	160.01	+	1.37	1.68E-05	6.77E-04
positive regulation of molecular function (GO:0044093)	1837	366	266.24	+	1.37	1.50E-08	1.08E-06
regulation of protein metabolic process (GO:0051246)	2842	566	411.90	+	1.37	4.15E-13	5.63E-11
cellular metabolic process (GO:0044237)	7784	1549	1128.16	+	1.37	1.44E-47	2.28E-43
regulation of cellular protein metabolic process (GO:0032268)	2685	534	389.15	+	1.37	3.17E-12	3.79E-10
enzyme linked receptor protein signaling pathway (GO:0007167)	735	146	106.53	+	1.37	6.37E-04	1.65E-02
aromatic compound biosynthetic process (GO:0019438)	1098	218	159.14	+	1.37	2.33E-05	9.08E-04
regulated exocytosis (GO:0045055)	696	138	100.87	+	1.37	9.88E-04	2.34E-02
negative regulation of cell communication (GO:0010648)	1413	280	204.79	+	1.37	1.41E-06	7.09E-05
negative regulation of signaling (GO:0023057)	1416	280	205.23	+	1.36	1.73E-06	8.53E-05
cell development (GO:0048468)	1654	327	239.72	+	1.36	2.02E-07	1.25E-05
negative regulation of signal transduction (GO:0009968)	1295	256	187.69	+	1.36	5.36E-06	2.44E-04
positive regulation of RNA metabolic process (GO:0051254)	1757	347	254.65	+	1.36	8.11E-08	5.28E-06
negative regulation of molecular function (GO:0044092)	1178	232	170.73	+	1.36	2.03E-05	8.08E-04
cellular chemical homeostasis (GO:0055082)	752	148	108.99	+	1.36	7.32E-04	1.84E-02
regulation of multicellular organismal development (GO:2000026)	2106	414	305.23	+	1.36	6.28E-09	4.73E-07
negative regulation of transcription by RNA polymerase II (GO:0000122)	881	173	127.69	+	1.35	3.08E-04	9.04E-03
negative regulation of nucleic acid-templated transcription (GO:1903507)	1279	251	185.37	+	1.35	9.99E-06	4.26E-04
negative regulation of RNA biosynthetic process (GO:1902679)	1281	251	185.66	+	1.35	1.20E-05	5.00E-04
regulation of catalytic activity (GO:0050790)	2394	469	346.97	+	1.35	6.25E-10	5.40E-08
cellular protein modification process (GO:0006464)	3192	625	462.63	+	1.35	2.53E-13	3.56E-11
protein modification process (GO:0036211)	3192	625	462.63	+	1.35	2.53E-13	3.53E-11
macromolecule modification (GO:0043412)	3417	669	495.24	+	1.35	2.65E-14	4.21E-12
nitrogen compound metabolic process (GO:0006807)	7089	1387	1027.43	+	1.35	2.90E-36	3.84E-33
regulation of molecular function (GO:0065009)	3079	602	446.25	+	1.35	1.21E-12	1.53E-10
apoptotic process (GO:0006915)	911	178	132.03	+	1.35	3.19E-04	9.25E-03
positive regulation of nucleobase-containing compound metabolic process (GO:0045935)	1927	376	279.29	+	1.35	7.27E-08	4.78E-06
cell-cell signaling (GO:0007267)	1143	223	165.66	+	1.35	4.69E-05	1.71E-03
negative regulation of transcription, DNA-templated (GO:0045892)	1236	241	179.14	+	1.35	2.56E-05	9.86E-04
cellular response to nitrogen compound (GO:1901699)	662	129	95.95	+	1.34	2.29E-03	4.77E-02
positive regulation of catalytic activity (GO:0043085)	1478	288	214.21	+	1.34	3.83E-06	1.79E-04
positive regulation of transcription, DNA-templated (GO:0045893)	1578	307	228.70	+	1.34	1.82E-06	8.91E-05
positive regulation of transport (GO:0051050)	962	187	139.43	+	1.34	2.68E-04	8.04E-03
positive regulation of macromolecule biosynthetic process (GO:0010557)	1924	374	278.85	+	1.34	1.03E-07	6.64E-06
positive regulation of cell differentiation (GO:0045597)	1010	196	146.38	+	1.34	1.85E-04	5.80E-03
positive regulation of nucleic acid-templated transcription (GO:1903508)	1665	323	241.31	+	1.34	1.12E-06	5.83E-05
positive regulation of RNA biosynthetic process (GO:1902680)	1666	323	241.46	+	1.34	1.13E-06	5.88E-05
primary metabolic process (GO:0044238)	7572	1467	1097.43	+	1.34	1.90E-37	3.02E-34
regulation of proteolysis (GO:0030162)	745	144	107.98	+	1.33	1.69E-03	3.69E-02
cytoskeleton organization (GO:0007010)	1211	234	175.51	+	1.33	5.20E-05	1.87E-03
cellular response to DNA damage stimulus (GO:0006974)	788	152	114.21	+	1.33	1.34E-03	3.01E-02
localization (GO:0051179)	5850	1128	847.86	+	1.33	1.10E-24	4.87E-22
regulation of cell communication (GO:0010646)	3591	692	520.45	+	1.33	1.40E-13	2.06E-11
negative regulation of cellular process (GO:0048523)	4895	943	709.45	+	1.33	2.03E-19	4.76E-17
regulation of signaling (GO:0023051)	3630	698	526.11	+	1.33	1.47E-13	2.14E-11
organic cyclic compound biosynthetic process (GO:1901362)	1236	237	179.14	+	1.32	7.20E-05	2.49E-03
regulation of transcription by RNA polymerase II (GO:0006357)	2206	422	319.72	+	1.32	7.09E-08	4.70E-06
organonitrogen compound metabolic process (GO:1901564)	5444	1040	789.02	+	1.32	6.12E-21	1.74E-18
organic substance metabolic process (GO:0071704)	8007	1529	1160.48	+	1.32	9.51E-37	1.37E-33
positive regulation of transcription by RNA polymerase II (GO:0045944)	1257	240	182.18	+	1.32	8.17E-05	2.77E-03
negative regulation of biological process (GO:0048519)	5557	1060	805.39	+	1.32	2.55E-21	7.51E-19
positive regulation of cellular biosynthetic process (GO:0031328)	2022	385	293.05	+	1.31	4.43E-07	2.57E-05
metabolic process (GO:0008152)	8587	1634	1244.54	+	1.31	2.15E-40	6.85E-37
positive regulation of biosynthetic process (GO:0009891)	2055	391	297.84	+	1.31	3.81E-07	2.22E-05
response to hormone (GO:0009725)	822	156	119.14	+	1.31	2.29E-03	4.78E-02
negative regulation of cell death (GO:0060548)	1017	193	147.40	+	1.31	6.22E-04	1.62E-02
cation transport (GO:0006812)	839	159	121.60	+	1.31	2.15E-03	4.52E-02
regulation of protein modification process (GO:0031399)	1885	357	273.20	+	1.31	2.09E-06	1.02E-04
regulation of metabolic process (GO:0019222)	6987	1322	1012.65	+	1.31	1.45E-27	8.55E-25
regulation of developmental process (GO:0050793)	2668	504	386.68	+	1.30	1.10E-08	8.04E-07
regulation of cellular metabolic process (GO:0031323)	6267	1183	908.30	+	1.30	4.30E-23	1.55E-20
positive regulation of cellular process (GO:0048522)	5712	1077	827.86	+	1.30	3.24E-20	8.18E-18
regulation of macromolecule metabolic process (GO:0060255)	6435	1212	932.64	+	1.30	1.31E-23	5.36E-21
regulation of intracellular signal transduction (GO:1902531)	1823	343	264.21	+	1.30	5.49E-06	2.49E-04
cellular response to endogenous stimulus (GO:0071495)	1159	218	167.98	+	1.30	3.82E-04	1.06E-02
cellular response to oxygen-containing compound (GO:1901701)	1076	202	155.95	+	1.30	7.32E-04	1.84E-02
regulation of gene expression (GO:0010468)	4831	905	700.17	+	1.29	1.65E-15	2.94E-13
positive regulation of nitrogen compound metabolic process (GO:0051173)	3249	608	470.89	+	1.29	6.78E-10	5.77E-08
regulation of primary metabolic process (GO:0080090)	6055	1132	877.57	+	1.29	1.87E-20	5.12E-18
regulation of transferase activity (GO:0051338)	1033	193	149.72	+	1.29	1.27E-03	2.87E-02
regulation of programmed cell death (GO:0043067)	1583	295	229.43	+	1.29	5.86E-05	2.07E-03
regulation of nitrogen compound metabolic process (GO:0051171)	5856	1091	848.73	+	1.29	5.13E-19	1.15E-16
homeostatic process (GO:0042592)	1681	313	243.63	+	1.28	3.25E-05	1.23E-03
positive regulation of macromolecule metabolic process (GO:0010604)	3605	670	522.48	+	1.28	1.76E-10	1.60E-08
positive regulation of developmental process (GO:0051094)	1410	262	204.36	+	1.28	1.83E-04	5.74E-03
regulation of multicellular organismal process (GO:0051239)	3242	600	469.87	+	1.28	4.58E-09	3.48E-07
positive regulation of cellular metabolic process (GO:0031325)	3432	635	497.41	+	1.28	1.30E-09	1.06E-07
regulation of cell death (GO:0010941)	1714	317	248.42	+	1.28	5.08E-05	1.84E-03
positive regulation of gene expression (GO:0010628)	2351	434	340.74	+	1.27	1.40E-06	7.04E-05
positive regulation of metabolic process (GO:0009893)	3907	721	566.25	+	1.27	7.59E-11	7.49E-09
regulation of apoptotic process (GO:0042981)	1561	288	226.24	+	1.27	1.30E-04	4.16E-03
response to organic substance (GO:0010033)	3027	558	438.71	+	1.27	3.06E-08	2.14E-06
regulation of signal transduction (GO:0009966)	3156	581	457.41	+	1.27	1.77E-08	1.27E-06
chemical homeostasis (GO:0048878)	1128	207	163.48	+	1.27	1.70E-03	3.71E-02
regulation of anatomical structure morphogenesis (GO:0022603)	1110	203	160.88	+	1.26	2.10E-03	4.44E-02
regulation of cellular macromolecule biosynthetic process (GO:2000112)	3856	705	558.86	+	1.26	6.70E-10	5.73E-08
positive regulation of cell communication (GO:0010647)	1859	339	269.43	+	1.26	6.98E-05	2.43E-03
regulation of biosynthetic process (GO:0009889)	4214	767	610.75	+	1.26	1.52E-10	1.42E-08
regulation of macromolecule biosynthetic process (GO:0010556)	3981	724	576.98	+	1.25	7.80E-10	6.49E-08
positive regulation of signaling (GO:0023056)	1867	339	270.59	+	1.25	9.50E-05	3.15E-03
response to endogenous stimulus (GO:0009719)	1433	260	207.69	+	1.25	7.30E-04	1.84E-02
regulation of nucleobase-containing compound metabolic process (GO:0019219)	4008	724	580.89	+	1.25	2.13E-09	1.69E-07
regulation of RNA metabolic process (GO:0051252)	3738	674	541.76	+	1.24	1.40E-08	1.02E-06
positive regulation of biological process (GO:0048518)	6306	1137	913.95	+	1.24	7.63E-16	1.44E-13
response to oxygen-containing compound (GO:1901700)	1605	289	232.62	+	1.24	5.39E-04	1.42E-02
regulation of cellular biosynthetic process (GO:0031326)	4132	744	598.86	+	1.24	2.04E-09	1.63E-07
regulation of phosphate metabolic process (GO:0019220)	1837	328	266.24	+	1.23	3.68E-04	1.04E-02
regulation of phosphorus metabolic process (GO:0051174)	1838	328	266.39	+	1.23	3.69E-04	1.04E-02
positive regulation of protein metabolic process (GO:0051247)	1722	306	249.57	+	1.23	7.96E-04	1.95E-02
positive regulation of multicellular organismal process (GO:0051240)	1794	318	260.01	+	1.22	6.84E-04	1.74E-02
cellular response to chemical stimulus (GO:0070887)	2929	517	424.51	+	1.22	1.19E-05	5.01E-04
cellular response to organic substance (GO:0071310)	2360	415	342.04	+	1.21	1.46E-04	4.64E-03
system development (GO:0048731)	4514	789	654.23	+	1.21	6.18E-08	4.13E-06
cellular developmental process (GO:0048869)	3836	670	555.96	+	1.21	1.21E-06	6.24E-05
cell differentiation (GO:0030154)	3782	658	548.14	+	1.20	2.52E-06	1.21E-04
interspecies interaction between organisms (GO:0044419)	2105	364	305.08	+	1.19	1.24E-03	2.82E-02
regulation of transcription, DNA-templated (GO:0006355)	3395	586	492.05	+	1.19	2.59E-05	9.98E-04
regulation of RNA biosynthetic process (GO:2001141)	3471	598	503.06	+	1.19	2.43E-05	9.41E-04
regulation of nucleic acid-templated transcription (GO:1903506)	3466	597	502.34	+	1.19	2.69E-05	1.03E-03
multicellular organism development (GO:0007275)	5117	876	741.62	+	1.18	2.12E-07	1.29E-05
regulation of cellular process (GO:0050794)	11311	1906	1639.34	+	1.16	5.24E-20	1.28E-17
regulation of biological process (GO:0050789)	11873	1999	1720.79	+	1.16	4.24E-22	1.40E-19
developmental process (GO:0032502)	5954	1002	862.93	+	1.16	2.70E-07	1.61E-05
anatomical structure development (GO:0048856)	5499	920	796.99	+	1.15	3.22E-06	1.53E-04
cellular process (GO:0009987)	15626	2606	2264.72	+	1.15	8.70E-47	6.92E-43
biological regulation (GO:0065007)	12544	2088	1818.04	+	1.15	1.58E-21	4.73E-19
response to chemical (GO:0042221)	4415	728	639.88	+	1.14	3.19E-04	9.25E-03
regulation of response to stimulus (GO:0048583)	4382	714	635.10	+	1.12	1.23E-03	2.81E-02
cellular response to stimulus (GO:0051716)	6808	1086	986.70	+	1.10	3.72E-04	1.04E-02
biological_process (GO:0008150)	17927	2849	2598.22	+	1.10	1.40E-43	5.58E-40
response to stimulus (GO:0050896)	8545	1349	1238.45	+	1.09	1.48E-04	4.70E-03
regulation of immune response (GO:0050776)	1151	124	166.82	-	.74	9.88E-04	2.34E-02
response to biotic stimulus (GO:0009607)	1462	155	211.89	-	.73	7.66E-05	2.64E-03
response to other organism (GO:0051707)	1428	151	206.96	-	.73	8.80E-05	2.96E-03
response to external biotic stimulus (GO:0043207)	1430	151	207.25	-	.73	7.60E-05	2.63E-03
epithelium development (GO:0060429)	1128	115	163.48	-	.70	1.35E-04	4.32E-03
immune response (GO:0006955)	1934	197	280.30	-	.70	2.91E-07	1.72E-05
defense response to other organism (GO:0098542)	1035	101	150.01	-	.67	5.52E-05	1.96E-03
defense response (GO:0006952)	1434	138	207.83	-	.66	7.16E-07	3.95E-05
innate immune response (GO:0045087)	839	79	121.60	-	.65	9.40E-05	3.13E-03
regulation of inflammatory response (GO:0050727)	548	51	79.42	-	.64	1.47E-03	3.25E-02
sensory perception (GO:0007600)	984	91	142.61	-	.64	1.20E-05	5.01E-04
epithelial cell differentiation (GO:0030855)	688	61	99.71	-	.61	8.83E-05	2.97E-03
positive regulation of leukocyte activation (GO:0002696)	425	35	61.60	-	.57	6.44E-04	1.66E-02
positive regulation of cell activation (GO:0050867)	439	36	63.63	-	.57	4.67E-04	1.25E-02
G protein-coupled receptor signaling pathway (GO:0007186)	1324	108	191.89	-	.56	2.28E-10	2.04E-08
negative regulation of immune response (GO:0050777)	345	27	50.00	-	.54	9.32E-04	2.23E-02
embryonic organ morphogenesis (GO:0048562)	307	24	44.49	-	.54	1.98E-03	4.22E-02
response to bacterium (GO:0009617)	735	57	106.53	-	.54	6.69E-07	3.71E-05
inflammatory response (GO:0006954)	515	39	74.64	-	.52	2.39E-05	9.28E-04
detection of stimulus (GO:0051606)	709	46	102.76	-	.45	2.83E-09	2.22E-07
regulation of inflammatory response to antigenic stimulus (GO:0002861)	221	14	32.03	-	.44	1.05E-03	2.47E-02
Unclassified (UNCLASSIFIED)	2924	173	423.78	-	.41	1.40E-43	7.44E-40
skin development (GO:0043588)	383	21	55.51	-	.38	7.28E-07	4.01E-05
defense response to bacterium (GO:0042742)	349	19	50.58	-	.38	1.78E-06	8.75E-05
positive regulation of B cell activation (GO:0050871)	170	9	24.64	-	.37	9.70E-04	2.31E-02
adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains (GO:0002460)	273	14	39.57	-	.35	1.47E-05	6.00E-04
lymphocyte mediated immunity (GO:0002449)	264	13	38.26	-	.34	1.06E-05	4.46E-04
production of molecular mediator of immune response (GO:0002440)	184	9	26.67	-	.34	2.90E-04	8.61E-03
epidermis development (GO:0008544)	422	20	61.16	-	.33	7.90E-09	5.87E-07
immunoglobulin production (GO:0002377)	158	7	22.90	-	.31	3.72E-04	1.04E-02
regulation of complement activation (GO:0030449)	117	5	16.96	-	.29	2.37E-03	4.91E-02
humoral immune response (GO:0006959)	385	16	55.80	-	.29	3.35E-09	2.60E-07
adaptive immune response (GO:0002250)	616	23	89.28	-	.26	1.62E-15	2.92E-13
regulation of humoral immune response (GO:0002920)	136	5	19.71	-	.25	3.17E-04	9.22E-03
epidermal cell differentiation (GO:0009913)	317	10	45.94	-	.22	1.47E-09	1.19E-07
plasma membrane invagination (GO:0099024)	140	4	20.29	-	.20	7.01E-05	2.44E-03
phagocytosis, recognition (GO:0006910)	106	3	15.36	-	.20	7.03E-04	1.78E-02
immunoglobulin mediated immune response (GO:0016064)	205	5	29.71	-	.17	1.84E-07	1.15E-05
B cell mediated immunity (GO:0019724)	208	5	30.15	-	.17	1.27E-07	8.03E-06
phagocytosis, engulfment (GO:0006911)	131	3	18.99	-	.16	3.65E-05	1.36E-03
keratinocyte differentiation (GO:0030216)	268	6	38.84	-	.15	6.99E-10	5.91E-08
detection of stimulus involved in sensory perception (GO:0050906)	549	12	79.57	-	.15	1.84E-19	4.37E-17
peptide cross-linking (GO:0018149)	101	2	14.64	-	.14	2.58E-04	7.82E-03
complement activation (GO:0006956)	177	3	25.65	-	.12	1.22E-07	7.72E-06
B cell receptor signaling pathway (GO:0050853)	131	2	18.99	-	.11	5.19E-06	2.37E-04
opsonization (GO:0008228)	73	1	10.58	-	.09	1.19E-03	2.73E-02
complement activation, classical pathway (GO:0006958)	161	2	23.33	-	.09	1.60E-07	1.00E-05
humoral immune response mediated by circulating immunoglobulin (GO:0002455)	167	2	24.20	-	.08	7.15E-08	4.72E-06
detection of chemical stimulus (GO:0009593)	521	6	75.51	-	.08	2.99E-23	1.16E-20
sensory perception of chemical stimulus (GO:0007606)	540	6	78.26	-	.08	2.66E-24	1.14E-21
cornification (GO:0070268)	113	1	16.38	-	.06	6.34E-06	2.86E-04
keratinization (GO:0031424)	226	2	32.75	-	.06	3.52E-11	3.63E-09
sensory perception of smell (GO:0007608)	468	4	67.83	-	.06	1.43E-22	4.96E-20
detection of chemical stimulus involved in sensory perception of smell (GO:0050911)	439	0	63.63	-	 < 0.01	1.44E-26	7.91E-24
detection of chemical stimulus involved in sensory perception (GO:0050907)	484	0	70.15	-	 < 0.01	3.94E-29	3.29E-26
